Código da IES;Sigla da IES;Nome da IES;Categoria Administrativa;Organização Acadêmica;Situaçao da IES;Sinalização da IES;Código do Curso;Nome do Curso;Grau;Modalidade;Situação do Curso;Qt. Vagas Autorizadas;Carga Horária;Tipo de Periodicidade;Integralização - Turno Integral;Quantitativo de Vagas - Integral;Integralização - Turno Matutino;Quantitativo de Vagas - Matutino;Integralização - Turno Vespertino;Quantitativo de Vagas - Vespertino;Integralização - Turno Noturno;Quantitativo de Vagas - Noturno;Sinalização do Curso;Código do Endereço;Nome do Campus;Endereço;Número Endereço;Complemento;Bairro;Código do Município;Município;UF;Início Funcionamento;Data Ato de Criação;Valor CC;Ano CC;CPC Faixa;CPC Contínuo;CPC Ano; Valor IDD;IDD Ano;Valor ENADE;ENADE Ano;Código Rótulo CINE;Rótulo CINE;Código Área Detalhada CINE;Área Detalhada CINE;Código Área Específica CINE;Área Específica CINE;Código Área Geral CINE ; Área Geral CINE 
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1135348;Polo de Apoio Presencial de Presidente Tancredo Neves/BA;Praça da Independência;295;Polo de Apoio Presencial de Presidente Tancredo Neves/BA;Centro;000000002925758;Presidente Tancredo Neves;BA;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
17854;UniFECAF;Centro Universitário UniFECAF;Privada com fins lucrativos;Centro Universitário;Ativa;;1659077;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;6500;3405;;;;;;;;;;;1154063;POLO GOVERNADOR VALADARES - CENTRO - MG;R Belo Horizonte;677;POLO GOVERNADOR VALADARES - CENTRO - MG;Centro;000000003127701;Governador Valadares;MG;08/10/2023;2023-10-02;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1157875;Polo de Apoio Presencial de São João de Meriti/RJ - Unidade 1;Avenida Nossa Senhora das Graças;238, Sala 403;;Centro;000000003305109;São João de Meriti;RJ;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1123303;Polo de Apoio Presencial de Juazeiro do Norte/CE - Unidade 2;Avenida Ailton Gomes;867;Polo de Apoio Presencial de Juazeiro do Norte/CE - Unidade 2;Franciscanos;000000002307304;Juazeiro do Norte;CE;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1137509;Polo de Apoio Presencial de Goiatuba/GO;Rua São Paulo;722;;Centro;000000005209101;Goiatuba;GO;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
3649;UniCV;CENTRO UNIVERSITÁRIO CIDADE VERDE;Privada com fins lucrativos;Centro Universitário;Ativa;Adesão ao PROIES;1634706;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3600;;;;;;;;;;;1145505;POLO - CURITIBA/PR - CAPÃO RASO;Rua Santa Mônica ;35;POLO - CURITIBA/PR - CAPÃO RASO;Capão Raso;000000004106902;Curitiba;PR;06/04/2023;2023-03-27;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
496;UNIFRAN;UNIVERSIDADE DE FRANCA;Privada com fins lucrativos;Universidade;Ativa;;1631461;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;500;3600;;;;;;;;;;;1127026;POLO RIBEIRAO PRETO;RUA ALICE ALÉM SAADI;855;POLO RIBEIRAO PRETO;NOVA RIBEIRANIA;000000003543402;Ribeirão Preto;SP;01/02/2023;2022-12-06;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
3649;UniCV;CENTRO UNIVERSITÁRIO CIDADE VERDE;Privada com fins lucrativos;Centro Universitário;Ativa;Adesão ao PROIES;1634706;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3600;;;;;;;;;;;1162825;POLO - SENADOR CANEDO/GO - JARDIM CANEDO;Avenida Doutor José Carneiro ;1566;POLO - SENADOR CANEDO/GO - JARDIM CANEDO;Residencial Jardim Canedo;000000005220454;Senador Canedo;GO;06/04/2023;2023-03-27;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
17854;UniFECAF;Centro Universitário UniFECAF;Privada com fins lucrativos;Centro Universitário;Ativa;;1659077;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;6500;3405;;;;;;;;;;;1176784;Polo RS - Canoas (Mathias Velho) - 110;Rio Grande do Sul;1515;;Mathias Velho;000000004304606;Canoas;RS;08/10/2023;2023-10-02;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1107144;Polo de Apoio Presencial de Cuiabá/MT - Unidade 3;Avenida Doutor Meirelles;49;Polo de Apoio Presencial de Cuiabá/MT - Unidade 3;Altos do Coxipó;000000005103403;Cuiabá;MT;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
4751;UNIFATECIE;CENTRO UNIVERSITÁRIO UNIFATECIE;Privada com fins lucrativos;Centro Universitário;Ativa;;1575785;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;4000;3200;;;;;;;;;;;1120570;MEGA POLO CASCAVEL - PR;Rua Alexandre de Gusmão;1292;Cascavel-PR;Maria Luiza;000000004104808;Cascavel;PR;31/05/2021;2021-04-12;4;2024;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
3649;UniCV;CENTRO UNIVERSITÁRIO CIDADE VERDE;Privada com fins lucrativos;Centro Universitário;Ativa;Adesão ao PROIES;1634706;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3600;;;;;;;;;;;1158469;POLO - RIO AZUL/PR - CENTRO;Rua Julia Gluszczynski;216;;Centro;000000004122008;Rio Azul;PR;06/04/2023;2023-03-27;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1430;UNINGÁ;CENTRO UNIVERSITÁRIO INGÁ;Privada com fins lucrativos;Centro Universitário;Ativa;;1442123;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;500;3850;;;;;;;;;;;1111572;Cornélio Procópio-PR;R. Espirito Santo, 185;185;Cornélio Procópio-PR;Centro;000000004106407;Cornélio Procópio;PR;15/10/2018;2018-04-02;4;2024;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1205;UNIFAEL;CENTRO UNIVERSITÁRIO FAEL;Privada com fins lucrativos;Centro Universitário;Ativa;;1644154;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;500;3200;;;;;;;;;;;1168569;RJ - MAGÉ (CENTRO I);Rua Coronel Siqueira;73;RJ - MAGÉ (CENTRO I);Centro;000000003302502;Magé;RJ;Não iniciado;2023-06-01;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
3649;UniCV;CENTRO UNIVERSITÁRIO CIDADE VERDE;Privada com fins lucrativos;Centro Universitário;Ativa;Adesão ao PROIES;1634706;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3600;;;;;;;;;;;1148913;POLO - MOCOCA/SP - GABRIEL DO Ó;Avenida Gabriel do Ó ;1172;POLO - MOCOCA/SP - GABRIEL DO Ó;Conjunto Habitacional Gabriel do Ó;000000003530508;Mococa;SP;06/04/2023;2023-03-27;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
17854;UniFECAF;Centro Universitário UniFECAF;Privada com fins lucrativos;Centro Universitário;Ativa;;1659077;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;6500;3405;;;;;;;;;;;1179275;POLO - SP - SÃO PAULO (CAPÃO REDONDO) - 1759;Estrada de Itapecerica;3632;;Capão Redondo;000000003550308;São Paulo;SP;08/10/2023;2023-10-02;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
3649;UniCV;CENTRO UNIVERSITÁRIO CIDADE VERDE;Privada com fins lucrativos;Centro Universitário;Ativa;Adesão ao PROIES;1634706;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3600;;;;;;;;;;;1176675;POLO - VESPASIANO/MG - CONJUNTO HABITACIONAL CAIEIRAS;Rua Dona Mariana da Costa;1588;;Conjunto Habitacional Caieiras;000000003171204;Vespasiano;MG;06/04/2023;2023-03-27;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
3649;UniCV;CENTRO UNIVERSITÁRIO CIDADE VERDE;Privada com fins lucrativos;Centro Universitário;Ativa;Adesão ao PROIES;1634706;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3600;;;;;;;;;;;1085401;POLO - VOTUPORANGA/SP - CHÁCARA AVIAÇÃO;Rua Denizart Vidigal;3620;PÓLO - VOTUPORANGA/SP - CHÁCARA AVIAÇÃO;Chácara Aviação;000000003557105;Votuporanga;SP;06/04/2023;2023-03-27;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1115495;Polo de Apoio Presencial de Conceição do Coité/BA;Rua Argemiro Ramos Gordiano;157;Polo de Apoio Presencial de Conceição do Coité/BA;Olhos D' Água;000000002908408;Conceição do Coité;BA;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1196;UNICESUMAR;UNIVERSIDADE CESUMAR;Privada com fins lucrativos;Universidade;Ativa;;1615723;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3434;;;;;;;;;;;1103083;POLO EAD UNICESUMAR VÁRZEA ALEGRE - CE;Rua Durval Soares;150 A;Varzea Alegre - CE;Centro;000000002314003;Várzea Alegre;CE;27/02/2023;2022-10-13;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1196;UNICESUMAR;UNIVERSIDADE CESUMAR;Privada com fins lucrativos;Universidade;Ativa;;1615723;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3434;;;;;;;;;;;8960;POLO EAD UNICESUMAR CONTAGEM - MG;Rua Tiradentes;3202; ;Industrial;000000003118601;Contagem;MG;27/02/2023;2022-10-13;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
3649;UniCV;CENTRO UNIVERSITÁRIO CIDADE VERDE;Privada com fins lucrativos;Centro Universitário;Ativa;Adesão ao PROIES;1634706;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3600;;;;;;;;;;;1160584;POLO - MARABÁ/PA - SÃO FÉLIX;Avenida QTR;;POLO - MARABÁ/PA - SÃO FÉLIX;São Félix;000000001504208;Marabá;PA;06/04/2023;2023-03-27;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1175585;Polo de Apoio Presencial de Ferraz de Vasconcelos/SP;Avenida Governador Janio Quadros;752 - Sala 04;;Parque Dourado;000000003515707;Ferraz de Vasconcelos;SP;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1151858;Polo de Apoio Presencial de Balneário Camboriú/SC - Unidade 2;5ª Avenida;1920;;Municípios;000000004202008;Balneário Camboriú;SC;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1658;UNIGRANDE;CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA;Privada com fins lucrativos;Centro Universitário;Ativa;;1676070;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;19000;3200;;;;;;;;;;;1143293;SÃO JOSÉ DO RIO PRETO I;Rua Emília Joaquina de Jesus Castro;350;SÃO JOSÉ DO RIO PRETO I;Cidade Nova;000000003549805;São José do Rio Preto;SP;03/02/2025;2024-06-07;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1140435;Polo de Apoio Presencial de Barretos/SP;Rua 20;1490;Polo de Apoio Presencial de Barretos/SP;Primavera;000000003505500;Barretos;SP;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
17854;UniFECAF;Centro Universitário UniFECAF;Privada com fins lucrativos;Centro Universitário;Ativa;;1659077;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;6500;3405;;;;;;;;;;;1131640;POLO BARBACENA;Rua Olinto Magalhães;248;POLO BARBACENA;Centro;000000003105608;Barbacena;MG;08/10/2023;2023-10-02;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1174791;Polo de Apoio Presencial de Belo Horizonte/MG - Unidade 7;Rua Pouso Alegre;1109;;Floresta;000000003106200;Belo Horizonte;MG;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1430;UNINGÁ;CENTRO UNIVERSITÁRIO INGÁ;Privada com fins lucrativos;Centro Universitário;Ativa;;1442123;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;500;3850;;;;;;;;;;;1118792;Uniao da Vitoria-PR;Avenida Manoel Ribas;752;;Centro;000000004128203;União da Vitória;PR;15/10/2018;2018-04-02;4;2024;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1101198;Polo de Apoio Presencial de Itajaí/SC - Unidade 2;Rua Modesto Fernandes Vieira;1;Polo de Apoio Presencial de Itajaí/SC - Unidade 2;Dom Bosco;000000004208203;Itajaí;SC;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
2835;UNINASSAU;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;Privada com fins lucrativos;Centro Universitário;Ativa;;1644161;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;500;3200;;;;;;;;;;;1154902;PE - UNINASSAU (CAXANGÁ);Avenida Joaquim Ribeiro;1180;PE - UNINASSAU (CAXANGÁ);Caxangá;000000002611606;Recife;PE;07/08/2023;2023-06-01;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
17854;UniFECAF;Centro Universitário UniFECAF;Privada com fins lucrativos;Centro Universitário;Ativa;;1659077;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;6500;3405;;;;;;;;;;;1147184;POLO SÃO PAULO - VILA LEOPOLDINA;Avenida Imperatriz Leopoldina;349;POLO SÃO PAULO - VILA LEOPOLDINA;Vila Leopoldina;000000003550308;São Paulo;SP;08/10/2023;2023-10-02;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
3649;UniCV;CENTRO UNIVERSITÁRIO CIDADE VERDE;Privada com fins lucrativos;Centro Universitário;Ativa;Adesão ao PROIES;1634706;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;1000;3600;;;;;;;;;;;1172917;POLO - BRASÍLIA/DF - CEILÂNDIA NORTE;QNM 24, Conjunto A;;;Ceilândia Norte;000000005300108;Brasília;DF;06/04/2023;2023-03-27;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1174085;Polo de Apoio Presencial de Porto Velho/RO - Unidade 2;Avenida Abunã; 977 B;;Centro - Distrito de Extrema;000000001100205;Porto Velho;RO;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
1472;UNIASSELVI;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;Privada com fins lucrativos;Centro Universitário;Ativa;;1607811;TERAPIA OCUPACIONAL;Bacharelado;Educação a Distância;Em atividade;10000;3345;;;;;;;;;;;1141444;Polo de Apoio Presencial de São Cristóvão/SE;Rua Trinta e Sete;11, Sala 1 e 2;Polo de Apoio Presencial de São Cristóvão/SE;Eduardo Gomes;000000002806701;São Cristóvão;SE;09/08/2022;2022-04-25;;;;;;;;;;0915T01;Terapia ocupacional;0915;Promoção, prevenção, terapia e reabilitação;091;Saúde;09;Saúde e bem-estar;
